Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- FORTRESS             count: 26           16,25 %    (15,84% expected)
 + 1 Enchanted Book: Feather Falling IV
 + 1 Compass

Mine 64 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Sharpness V

Kill 6 Witches (⭐⭐⭐⭐)  
 + 24 Ender Pearl
 + 1 Netherite Ingot

Mine 48 Redstone Ore (⭐⭐⭐)  
 + 12 Slime Ball

Pick 7 Cactus Flowers (⭐⭐)  
 + 1 Bow: Flame
 + 1 Iron Leggings

Level up 45 times (⭐⭐⭐⭐)  
 + 11 Ghast Tear
 + 1 Music Disc Mall

Mine 1 Emerald Ore (⭐⭐)  
 + 6 Splash Potion: Strength

Mine 16 Copper Ore (⭐)  
 + 1 Potion: Water Breathing
 + 1 Iron Pickaxe

Ride 500m on a Pig (⭐⭐⭐⭐)  
 + 48 Quartz
 + 6 Splash Potion: Slow Falling +

Mine 16 Lapis Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Thorns II
 + 1 Fishing Rod: Lure III

Chop 64 Oak Logs (⭐⭐)  
 + 1 Amethyst Shard
 + 1 Bow

Chop 96 Oak Logs (⭐⭐)  
 + 1 Iron Spear: Unbreaking I
 + 1 Iron Axe

Mine 4 Diamond Ore (⭐⭐)  
 + 1 Bow: Unbreaking II

Mine 112 Iron Ore (⭐⭐)  
 + 6 Potion: Leaping
 + 1 Iron Leggings

Chop 96 Logs (⭐)  
 + 8 Flint

Harvest 32 Cacti (⭐⭐)  
 + 20 Cooked Porkchop

Chop 32 Logs (⭐)  
 + 8 Coal

Trade with a Leatherworker 10 times (⭐⭐⭐)  
 + 1 Enchanted Book: Fortune I
 + 1 Diamond Spear

Mine 96 Iron Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency IV

Trade with a Villager 12 times (⭐⭐)  
 + 1 Chainmail Leggings: Thorns II

Trade with a Butcher 6 times (⭐⭐)  
 + 1 Echo Shard

Chop 96 Logs (⭐)  
 + 2 Potion: Slow Falling +
 + 1 Iron Spear

Find a Desert Pyramid (⭐⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Pick 2 Dandelions (⭐)  
 + 1 Chainmail Leggings

Level up 20 times (⭐⭐⭐)  
 + 1 Iron Spear: Unbreaking II

Level up 45 times (⭐⭐⭐⭐)  
 + 160 Arrow

Trade with a Cleric 14 times (⭐⭐⭐)  
 + 1 Vex Armor Trim Smithing Template
 + 1 Enchanted Golden Apple

Mine 96 Nether Quartz Ore (⭐⭐⭐⭐)  
 + 160 Arrow

Enchant a Diamond Axe with Fortune II+ (⭐⭐⭐)  
 + 1 Enchanted Book: Fortune II
 + 48 Cooked Chicken

Chop 128 Logs (⭐)  
 + 1 Goat Horn
 + 1 Iron Pickaxe

Harvest 80 Carrots (⭐⭐)  
 + 4 Slime Ball

Mine 64 Iron Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency I

Harvest 64 Sugar Cane (⭐⭐)  
 + 1 Enchanted Book: Bane Of Arthropods I

Harvest 112 Carrots (⭐⭐)  
 + 6 Splash Potion: Swiftness

Mine 64 Iron Ore (⭐⭐)  
 + 4 Ender Pearl

Run 20km (⭐⭐⭐⭐⭐)  
 + 24 Slime Ball
 + 36 Golden Carrot
 + 96 Coal

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Diamond Hoe: Silk Touch

Mine 192 Coal Ore (⭐⭐)  
 + 6 Potion: Healing II
 + 1 Iron Leggings

Chop 32 Spruce Logs (⭐)  
 + 12 Iron Ingot

Break 48 Glowstones (⭐⭐⭐)  
 + 1 Enchanted Golden Apple
 + 1 Music Disc Relic

Mine 24 Lapis Ore (⭐⭐⭐)  
 + 1 Enchanted Golden Apple
 + 1 Enchanted Book: Flame

Find a Village (⭐⭐⭐)  
 + 1 Crossbow: Unbreaking II

Kill 16 Boggeds (⭐⭐⭐⭐)  
 + 11 Amethyst Shard

Enchant 6 Books (⭐⭐)  
 + 1 Music Disc Precipice

Trade with a Toolsmith 6 times (⭐⭐)  
 + 1 Ancient Debris

Mine 80 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Thorns III

Mine 240 Coal Ore (⭐⭐)  
 + 1 Music Disc Pigstep

Kill 30 Sheep (⭐⭐)  
 + 1 Diamond Hoe

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Chainmail Helmet: Mending
 + 6 Splash Potion: Regeneration II

Mine 24 Gold Ore (⭐⭐)  
 + 20 Copper Ingot

Level up 10 times (⭐⭐)  
 + 3 Splash Potion: Regeneration II

Chop 128 Logs (⭐)  
 + 8 Cooked Beef
 + 1 Iron Leggings
 + 1 Iron Hoe

Mine 64 Iron Ore (⭐⭐)  
 + 1 Crossbow: Piercing I
 + 1 Iron Pickaxe

Mine 48 Iron Ore (⭐)  
 + 16 Copper Ingot
 + 1 Iron Pickaxe

Run 22,5km (⭐⭐⭐⭐⭐)  
 + 1 Netherite Spear: Looting II
 + 1 Enchanted Book: Sharpness V

Harvest 64 Sugar Cane (⭐⭐)  
 + 64 Coal

Find a Swamp Hut (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Mending
 + 1 Enchanted Book: Sharpness V
 + 6 Potion: Swiftness II

Mine 48 Redstone Ore (⭐⭐⭐)  
 + 4 Blaze Rod
 + 1 Iron Helmet: Aqua Affinity

Chop 32 Oak Logs (⭐)  
 + 12 Cooked Porkchop

Ride 1km on a Horse (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge III
 + 48 Flint

Chop 160 Logs (⭐⭐)  
 + 1 Spyglass

Chop 160 Logs (⭐⭐)  
 + 5 Potion: Strength

Harvest 80 Sugar Cane (⭐⭐)  
 + 32 Arrow

Mine 144 Iron Ore (⭐⭐)  
 + 1 Echo Shard

Enchant a Diamond Shovel (⭐)  
 + 3 Potion: Healing

Mine 144 Iron Ore (⭐⭐)  
 + 1 Diamond Shovel: Unbreaking I

Mine 64 Iron Ore (⭐⭐)  
 + 24 Copper Ingot

Mine 20 Diamond Ore (⭐⭐⭐⭐)  
 + 11 Diamond

Enchant a Diamond Sword with Smite I+ (⭐⭐)  
 + 20 Iron Ingot

Travel 4km with a Boat (⭐⭐⭐)  
 + 64 Arrow
 + 3 Potion: Night Vision +

Chop 96 Logs (⭐)  
 + 5 Potion: Healing
 + 1 Iron Spear

Chop 32 Logs (⭐)  
 + 1 Ghast Tear
 + 1 Iron Spear
 + 1 Iron Shovel

Harvest 8 Brown Mushrooms (⭐)  
 + 24 Coal

Kill 90 Zombies (⭐⭐⭐)  
 + 1 Diamond Hoe: Silk Touch

Kill 10 Wither Skeletons (⭐⭐⭐⭐⭐)  
 + 1 Netherite Pickaxe: Fortune III

Pick 12 Dandelions (⭐)  
 + 8 Flint

Harvest 112 Carrots (⭐⭐)  
 + 1 Crossbow: Unbreaking I

Trade with a Leatherworker 8 times (⭐⭐)  
 + 24 Firework Rocket

Mine 128 Iron Ore (⭐⭐)  
 + 3 Golden Apple
 + 1 Crossbow

Pick 1 Azure Bluet (⭐)  
 + 1 Potion: Swiftness II

Mine 16 Nether Gold Ore (⭐⭐)  
 + 1 Music Disc Creator Music Box

Kill 110 Skeletons (⭐⭐⭐⭐)  
 + 8 Diamond
 + 96 Iron Ingot

Find a Village (⭐⭐⭐)  
 + 1 Enchanted Golden Apple

Trade with a Villager 4 times (⭐)  
 + 16 Copper Ingot

Chop 64 Spruce Logs (⭐⭐)  
 + 20 Iron Ingot

Level up 25 times (⭐⭐⭐)  
 + 1 Enchanted Golden Apple

Kill 40 Cows (⭐⭐)  
 + 48 Cooked Chicken

Mine 128 Iron Ore (⭐⭐)  
 + 4 Blaze Rod

Harvest 64 Sugar Cane (⭐⭐)  
 + 64 Coal

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Iron Pickaxe: Fortune II

Mine 112 Iron Ore (⭐⭐)  
 + 1 Iron Hoe: Unbreaking I

Mine 128 Iron Ore (⭐⭐)  
 + 48 Iron Ingot

Harvest 48 Cocoa Beans (⭐⭐)  
 + 1 Music Disc Stal
 + 24 Iron Ingot

Mine 240 Coal Ore (⭐⭐)  
 + 1 Iron Pickaxe: Unbreaking II

Find an Ocean Monument (⭐⭐⭐⭐)  
 + 3 Enchanted Golden Apple

Mine 80 Iron Ore (⭐⭐)  
 + 1 Iron Hoe: Efficiency II

Trade with a Villager 4 times (⭐)  
 + 3 Splash Potion: Swiftness +

Mine 32 Gold Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency III

Mine 128 Coal Ore (⭐⭐)  
 + 6 Potion: Swiftness
 + 6 Honey Bottle

Enchant 3 Books (⭐)  
 + 16 Coal
 + 1 Iron Leggings

Harvest 48 Sugar Cane (⭐⭐)  
 + 2 Golden Apple

Mine 16 Gold Ore (⭐)  
 + 8 Flint
 + 1 Iron Leggings

Harvest 32 Nether Warts (⭐⭐⭐)  
 + 16 Sponge

Kill 80 Zombies (⭐⭐⭐)  
 + 1 Enchanted Book: Looting II

Harvest 28 Pumpkins (⭐⭐)  
 + 1 Enchanted Book: Efficiency V

Level up 10 times (⭐⭐)  
 + 1 Chainmail Leggings: Projectile Protection II

Mine 32 Lapis Ore (⭐⭐⭐)  
 + 7 Diamond

Mine 4 Ancient Debris (⭐⭐⭐⭐)  
 + 1 Diamond Helmet: Aqua Affinity
 + 1 Enchanted Book: Feather Falling IV

Harvest 16 Sweet Berries (⭐)  
 + 4 Iron Ingot

Find an End City (⭐⭐⭐⭐⭐)  
 + 24 Blaze Rod

Chop 96 Logs (⭐)  
 + 12 Copper Ingot

Find a Woodland Mansion (⭐⭐⭐⭐⭐⭐)  
 + 24 Blaze Rod
 + 3 Enchanted Golden Apple
 + 1 Dune Armor Trim Smithing Template
 + 1 Enchanted Book: Blast Protection IV
 + 96 Iron Ingot
 + 3 Saddle

Chop 160 Logs (⭐⭐)  
 + 1 Chainmail Helmet: Thorns II

Level up 25 times (⭐⭐⭐)  
 + 92 Iron Ingot

Chop 64 Acacia Logs (⭐⭐)  
 + 4 Potion: Fire Resistance

Kill 60 Skeletons (⭐⭐⭐)  
 + 96 Iron Ingot

Harvest 16 Carrots (⭐)  
 + 4 Cooked Mutton

Chop 64 Logs (⭐)  
 + 1 Bow
 + 1 Iron Pickaxe

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Diamond Leggings: Mending

Mine 32 Iron Ore (⭐)  
 + 1 Splash Potion: Fire Resistance

Find a Swamp Hut (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Density V
 + 12 Amethyst Shard

Mine 88 Gold Ore (⭐⭐⭐)  
 + 8 Ender Pearl

Break 80 Glowstones (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Protection IV

Find a Bastion Remnant (⭐⭐⭐⭐)  
 + 1 Diamond Shovel: Mending
 + 8 Golden Apple

Mine 16 Gold Ore (⭐)  
 + 32 Coal

Harvest 64 Sugar Cane (⭐⭐)  
 + 32 Copper Ingot

Run 2,5km (⭐⭐)  
 + 1 Enchanted Book: Feather Falling III

Run 20km (⭐⭐⭐⭐⭐)  
 + 6 Sea Lantern
 + 48 Gold Ingot

Harvest 16 Bamboo (⭐⭐)  
 + 4 Slime Ball
 + 1 Iron Helmet

Chop 96 Oak Logs (⭐⭐)  
 + 4 Ender Pearl

Harvest 10 Chorus Flowers (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Feather Falling IV
 + 1 Diamond Pickaxe
 + 48 Cooked Porkchop

Harvest 112 Kelp (⭐)  
 + 8 Flint

Harvest 96 Sugar Cane (⭐⭐)  
 + 32 Arrow

Mine 48 Gold Ore (⭐⭐)  
 + 4 Slime Ball

Break 6 Amethyst Clusters (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency II

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Enchanted Book: Respiration III

Level up 25 times (⭐⭐⭐)  
 + 1 Enchanted Book: Punch II

Harvest 32 Carrots (⭐)  
 + 12 Cooked Mutton

Kill 50 Sheep (⭐⭐)  
 + 6 Potion: Strength II

Mine 16 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Power V

Trade with a Farmer 12 times (⭐⭐)  
 + 96 Coal

Find an End City (⭐⭐⭐⭐⭐)  
 + 17 Diamond
 + 1 Eye Armor Trim Smithing Template

Harvest 80 Melon Slices (⭐⭐)  
 + 8 Ender Pearl

Mine 208 Coal Ore (⭐⭐)  
 + 32 Arrow

Chop 96 Logs (⭐)  
 + 6 Honey Bottle

Pick 3 Oxeye Daisys (⭐)  
 + 1 Potion: Night Vision +
 + 2 Honey Bottle

Mine 64 Coal Ore (⭐)  
 + 12 Iron Ingot
 + 1 Iron Shovel

Pick 4 Poppys (⭐)  
 + 1 Golden Apple
 + 1 Iron Shovel

Mine 64 Nether Gold Ore (⭐⭐⭐)  
 + 96 Arrow
 + 1 Diamond Shovel

Find a Bastion Remnant (⭐⭐⭐⭐)  
 + 1 Trident
 + 96 Iron Ingot

Chop 64 Oak Logs (⭐⭐)  
 + 1 Splash Potion: Invisibility +
 + 1 Iron Axe

Kill 4 Blazes (⭐⭐⭐⭐)  
 + 1 Iron Axe: Mending
 + 6 Potion: Fire Resistance
 + 1 Crossbow

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 96 Iron Ingot
 + 1 Enchanted Book: Unbreaking III

Chop 128 Logs (⭐)  
 + 1 Diamond Spear

Mine 40 Lapis Ore (⭐⭐⭐⭐)  
 + 1 Shaper Armor Trim Smithing Template

Harvest 40 Brown Mushrooms (⭐⭐)  
 + 2 Diamond

Chop 64 Dark Oak Logs (⭐⭐)  
 + 5 Potion: Strength

Harvest 80 Potatoes (⭐⭐)  
 + 4 Potion: Slow Falling +

Pick 2 Poppys (⭐)  
 + 1 Potion: Leaping

Enchant 2 Books (⭐)  
 + 2 Glow Ink Sac

Harvest 80 Carrots (⭐⭐)  
 + 1 Chainmail Leggings: Protection III

Mine 48 Gold Ore (⭐⭐)  
 + 1 Diamond Spear
 + 1 Goat Horn
 + 1 Iron Helmet

Mine 96 Nether Gold Ore (⭐⭐⭐⭐)  
 + 9 Golden Apple

Harvest 32 Carrots (⭐)  
 + 4 Gold Ingot

Mine 48 Copper Ore (⭐)  
 + 8 Gold Ingot

Chop 192 Logs (⭐⭐)  
 + 3 Splash Potion: Healing II

Mine 48 Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Chop 64 Logs (⭐)  
 + 1 Splash Potion: Fire Resistance

Trade with a Librarian 14 times (⭐⭐⭐)  
 + 1 Enchanted Book: Bane Of Arthropods V

Pick 4 Orange Tulips (⭐)  
 + 8 Coal

Ride 14km on a Horse (⭐⭐⭐⭐⭐)  
 + 11 Diamond
 + 3 Enchanted Golden Apple

Find a Shipwreck (⭐⭐⭐)  
 + 1 Diamond Pickaxe: Unbreaking I

Harvest 112 Sugar Cane (⭐⭐)  
 + 1 Iron Hoe: Silk Touch

Mine 32 Iron Ore (⭐)  
 + 1 Iron Chestplate

Harvest 96 Sugar Cane (⭐⭐)  
 + 1 Enchanted Book: Feather Falling II

Mine 2 Emerald Ore (⭐⭐⭐)  
 + 3 Ancient Debris

Harvest 16 Wheat (⭐)  
 + 1 Potion: Regeneration II

Kill 110 Spiders (⭐⭐⭐⭐)  
 + 160 Arrow

Harvest 64 Sweet Berries (⭐⭐)  
 + 20 Cooked Porkchop
 + 1 Iron Pickaxe

Swim 100m (⭐)  
 + 1 Golden Apple

Mine 48 Nether Quartz Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Power III

Mine 112 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Quick Charge II

Mine 240 Coal Ore (⭐⭐)  
 + 6 Potion: Healing II
 + 1 Jukebox

Mine 176 Coal Ore (⭐⭐)  
 + 1 Iron Spear: Smite III
 + 1 Iron Helmet

Mine 28 Diamond Ore (⭐⭐⭐⭐)  
 + 3 Enchanted Golden Apple

Chop 64 Jungle Logs (⭐⭐)  
 + 1 Diamond

Find an Ocean Ruin (⭐⭐⭐)  
 + 1 Iron Pickaxe: Fortune II

Mine 8 Lapis Ore (⭐⭐)  
 + 20 Gold Ingot

Chop 64 Logs (⭐)  
 + 1 Iron Leggings

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Mending
 + 1 Enchanted Book: Respiration III
 + 36 Golden Carrot

Mine 32 Nether Gold Ore (⭐⭐⭐)  
 + 5 Golden Apple

Mine 16 Nether Quartz Ore (⭐⭐)  
 + 4 Blaze Rod

Kill 12 Blazes (⭐⭐⭐⭐)  
 + 1 Netherite Axe

Trade with a Armorer 4 times (⭐⭐)  
 + 1 Iron Spear: Fire Aspect I

Mine 48 Iron Ore (⭐)  
 + 16 Iron Ingot

Break 6 Amethyst Clusters (⭐⭐)  
 + 1 Diamond Axe: Unbreaking I

Trade with a Villager 12 times (⭐⭐)  
 + 1 Iron Spear: Unbreaking I

Harvest 8 Pumpkins (⭐)  
 + 12 Iron Ingot

Chop 96 Oak Logs (⭐⭐)  
 + 2 Amethyst Shard

Trade with a Villager 6 times (⭐⭐)  
 + 1 Diamond

Chop 160 Logs (⭐⭐)  
 + 1 Diamond

Harvest 40 Melon Slices (⭐⭐)  
 + 16 Flint

Fish a treasure (⭐⭐)  
 + 1 Iron Shovel: Efficiency III

Mine 240 Coal Ore (⭐⭐)  
 + 3 Amethyst Shard

Trade with a Villager 14 times (⭐⭐)  
 + 24 Flint

Mine 128 Iron Ore (⭐⭐)  
 + 6 Splash Potion: Strength +

Mine 20 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Protection IV
 + 6 Potion: Slow Falling +

Mine 16 Gold Ore (⭐)  
 + 1 Golden Apple

Mine 24 Lapis Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Feather Falling IV

Pick 2 Azure Bluets (⭐)  
 + 1 Iron Pickaxe
 + 1 Iron Hoe

Harvest 80 Sugar Cane (⭐⭐)  
 + 6 Potion: Leaping +

Trade with a Armorer 6 times (⭐⭐)  
 + 1 Enchanted Book: Aqua Affinity

Harvest 112 Potatoes (⭐⭐)  
 + 2 Golden Apple
 + 1 Iron Pickaxe

Eat some Cake (⭐⭐⭐⭐)  
 + 1 Netherite Spear

Swim 2,3km (⭐⭐⭐)  
 + 1 Diamond Helmet: Respiration II

Travel 4km with a Boat (⭐⭐⭐)  
 + 1 Enchanted Book: Multishot

Trade with a Armorer 6 times (⭐⭐)  
 + 2 Diamond

Mine 32 Lapis Ore (⭐⭐⭐)  
 + 1 Wild Armor Trim Smithing Template

Harvest 32 Cacti (⭐⭐)  
 + 20 Copper Ingot

Fish 28 Cod (⭐⭐)  
 + 2 Diamond

Harvest 112 Wheat (⭐)  
 + 3 Potion: Fire Resistance +

Trade with a Mason 14 times (⭐⭐⭐)  
 + 8 Golden Apple

Mine 48 Iron Ore (⭐)  
 + 16 Iron Ingot

Harvest 112 Wheat (⭐)  
 + 1 Diamond Spear

Harvest 16 Kelp (⭐)  
 + 1 Chainmail Leggings

Mine 28 Diamond Ore (⭐⭐⭐⭐)  
 + 20 Breeze Rod

Harvest 112 Carrots (⭐⭐)  
 + 1 Chainmail Helmet: Projectile Protection III

Ride 100m on a Pig (⭐⭐⭐)  
 + 2 Echo Shard

Harvest 16 Wheat (⭐)  
 + 1 Iron Axe

Harvest 16 Wheat (⭐)  
 + 1 Chorus Fruit

Chop 32 Acacia Logs (⭐)  
 + 12 Copper Ingot
 + 1 Iron Spear

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)  
 + 27 Diamond

Mine 32 Copper Ore (⭐)  
 + 12 Copper Ingot

Mine 80 Redstone Ore (⭐⭐⭐)  
 + 1 Diamond Axe: Sharpness II

Level up 30 times (⭐⭐⭐)  
 + 1 Enchanted Golden Apple

Find a Desert Pyramid (⭐⭐⭐)  
 + 16 Slime Ball

Pick 14 Poppys (⭐)  
 + 1 Bow
 + 1 Iron Axe
 + 1 Iron Hoe

Mine 48 Gold Ore (⭐⭐)  
 + 1 Enchanted Book: Thorns I

Mine 192 Coal Ore (⭐⭐)  
 + 32 Arrow

Level up 45 times (⭐⭐⭐⭐)  
 + 160 Arrow

Trade with a Villager 8 times (⭐⭐)  
 + 28 Iron Ingot

Harvest 64 Potatoes (⭐)  
 + 1 Fishing Rod: Luck Of The Sea II
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Mine 32 Copper Ore (⭐)  
 + 12 Iron Ingot

Harvest 112 Beetroots (⭐⭐)  
 + 32 Arrow

Find a Ruined Portal (⭐⭐⭐)  
 + 6 Splash Potion: Regeneration

Harvest 16 Wheat (⭐)  
 + 1 Fishing Rod: Luck Of The Sea II

Mine 112 Coal Ore (⭐⭐)  
 + 6 Potion: Leaping

Kill 40 Cows (⭐⭐)  
 + 1 Ancient Debris

Mine 72 Gold Ore (⭐⭐)  
 + 1 Iron Hoe: Fortune II

Mine 112 Coal Ore (⭐⭐)  
 + 20 Cooked Beef

Harvest 32 Wheat (⭐)  
 + 1 Iron Pickaxe
 + 1 Iron Hoe

Mine 48 Copper Ore (⭐)  
 + 1 Diamond
 + 1 Iron Pickaxe

Ride 1,9km on a Strider (⭐⭐⭐⭐⭐)  
 + 192 Arrow
 + 9 Golden Apple
 + 1 Enchanted Book: Blast Protection IV

Mine 16 Gold Ore (⭐)  
 + 3 Splash Potion: Night Vision +

Harvest 64 Wheat (⭐)  
 + 8 Iron Ingot
 + 1 Iron Pickaxe

Ride 800m on a Pig (⭐⭐⭐⭐)  
 + 1 Bow: Unbreaking III
 + 1 Enchanted Book: Silk Touch

Mine 16 Copper Ore (⭐)  
 + 8 Cooked Mutton
 + 1 Iron Shovel

Chop 192 Logs (⭐⭐)  
 + 1 Enchanted Book: Feather Falling IV

Level up 30 times (⭐⭐⭐)  
 + 1 Wild Armor Trim Smithing Template

Harvest 28 Pumpkins (⭐⭐)  
 + 44 Copper Ingot

Find an Ocean Ruin (⭐⭐⭐)  
 + 6 Golden Apple

Mine 20 Diamond Ore (⭐⭐⭐⭐)  
 + 20 Ender Pearl
 + 1 Enchanted Book: Swift Sneak III

Trade with a Librarian 6 times (⭐⭐⭐)  
 + 4 Amethyst Shard

Find a Bastion Remnant (⭐⭐⭐⭐)  
 + 1 Netherite Hoe
 + 6 Potion: Fire Resistance

Kill 80 Zombies (⭐⭐⭐)  
 + 96 Arrow

Trade with a Cartographer 6 times (⭐⭐⭐)  
 + 6 Potion: Strength
 + 1 Jukebox

Chop 224 Logs (⭐⭐)  
 + 1 Enchanted Book: Punch I

Trade with a Leatherworker 4 times (⭐⭐)  
 + 5 Splash Potion: Fire Resistance

Chop 32 Logs (⭐)  
 + 4 Iron Ingot

Break 64 Glowstones (⭐⭐⭐)  
 + 1 Enchanted Book: Fortune II
 + 6 Potion: Slow Falling +

Chop 160 Logs (⭐⭐)  
 + 8 Quartz

Mine 48 Copper Ore (⭐)  
 + 1 Iron Spear: Smite II

Mine 56 Lapis Ore (⭐⭐⭐⭐)  
 + 7 Diamond
 + 1 Enchanted Book: Unbreaking III

Run 5km (⭐⭐⭐)  
 + 4 Blaze Rod
 + 1 Chainmail Helmet: Aqua Affinity

Trade with a Farmer 10 times (⭐⭐)  
 + 32 Arrow

Chop 64 Jungle Logs (⭐⭐)  
 + 8 Flint
 + 1 Chainmail Helmet

Mine 208 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Depth Strider I
 + 1 Iron Helmet

Harvest 24 Nether Warts (⭐⭐⭐)  
 + 48 Cooked Beef

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 1 Diamond Spear: Bane Of Arthropods IV

Chop 192 Logs (⭐⭐)  
 + 1 Chainmail Helmet: Fire Protection II

Level up 30 times (⭐⭐⭐)  
 + 1 Enchanted Book: Power V
 + 3 Potion: Invisibility

Harvest 4 Chorus Flowers (⭐⭐⭐⭐)  
 + 1 Diamond Hoe: Unbreaking III
 + 3 Name Tag

Harvest 64 Sugar Cane (⭐⭐)  
 + 1 Bow: Unbreaking II

Chop 96 Logs (⭐)  
 + 1 Splash Potion: Strength +
 + 1 Chainmail Leggings

Mine 24 Gold Ore (⭐⭐)  
 + 5 Potion: Strength

Catch 8 fish (⭐)  
 + 1 Iron Leggings
 + 1 Iron Pickaxe

Harvest 48 Melon Slices (⭐⭐)  
 + 1 Music Disc Blocks

Pick 14 Dandelions (⭐)  
 + 2 Splash Potion: Leaping

Harvest 80 Carrots (⭐⭐)  
 + 1 Jukebox

Travel 5km with a Boat (⭐⭐⭐)  
 + 1 Diamond Pickaxe: Efficiency I

Run 20km (⭐⭐⭐⭐⭐)  
 + 2 Wither Skeleton Skull
 + 1 Enchanted Book: Sweeping Edge III

Mine 128 Coal Ore (⭐⭐)  
 + 16 Iron Ingot
 + 6 Honey Bottle

Mine 64 Redstone Ore (⭐⭐⭐)  
 + 96 Copper Ingot

Harvest 16 Sugar Cane (⭐)  
 + 1 Iron Leggings

Kill 10 Cows (⭐)  
 + 1 Name Tag

Harvest 16 Wheat (⭐)  
 + 1 Iron Pickaxe

Mine 240 Coal Ore (⭐⭐)  
 + 32 Arrow
 + 6 Potion: Swiftness +

Mine 32 Lapis Ore (⭐⭐⭐)  
 + 96 Coal
 + 1 Music Disc Otherside

Chop 32 Oak Logs (⭐)  
 + 1 Potion: Invisibility +
 + 1 Iron Hoe

Mine 16 Gold Ore (⭐)  
 + 1 Splash Potion: Regeneration +
 + 1 Iron Helmet

Chop 224 Logs (⭐⭐)  
 + 12 Golden Carrot

Harvest 16 Melon Slices (⭐)  
 + 1 Iron Leggings
 + 1 Iron Pickaxe

Harvest 48 Wheat (⭐)  
 + 4 Golden Carrot
 + 1 Iron Pickaxe
 + 1 Iron Spear

Harvest 40 Nether Warts (⭐⭐⭐)  
 + 1 Wild Armor Trim Smithing Template

Mine 240 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Unbreaking I

Chop 32 Acacia Logs (⭐)  
 + 12 Cooked Porkchop

Trade with a Villager 14 times (⭐⭐)  
 + 1 Iron Hoe: Unbreaking II
 + 1 Iron Pickaxe

Harvest 112 Beetroots (⭐⭐)  
 + 32 Arrow

Kill 90 Skeletons (⭐⭐⭐⭐)  
 + 12 Ghast Tear

Trade with a Villager 10 times (⭐⭐)  
 + 32 Arrow

Break 6 Amethyst Clusters (⭐⭐)  
 + 4 Golden Apple

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Efficiency V
 + 1 Enchanted Book: Projectile Protection IV
 + 1 Sentry Armor Trim Smithing Template

Mine 160 Coal Ore (⭐⭐)  
 + 6 Potion: Leaping +

Kill 20 Cows (⭐⭐)  
 + 1 Iron Spear: Knockback I

Kill 14 Endermen (⭐⭐⭐⭐)  
 + 128 Arrow
 + 1 Enchanted Book: Efficiency V

Harvest 64 Sweet Berries (⭐⭐)  
 + 6 Potion: Leaping

Harvest 14 Chorus Flowers (⭐⭐⭐⭐⭐)  
 + 2 Heart Of The Sea
 + 1 Music Disc 13
 + 1 Compass

Harvest 96 Potatoes (⭐⭐)  
 + 4 Potion: Fire Resistance +

