Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FISH_ITEM
- COD                  count: 21           30,00 %    (25,45% expected)
 + 1 Enchanted Book: Protection I

Kill 30 Pigs (⭐⭐)
 + 5 Potion: Fire Resistance +

Chop 96 Oak Logs (⭐⭐)
 + 1 Enchanted Book: Unbreaking III

Level up 30 times (⭐⭐⭐)
 + 6 Emerald
 + 48 Cooked Beef

Mine 128 Iron Ore (⭐⭐)
 + 1 Iron Sword: Sharpness IV
 + 4 Ender Pearl

Enchant 6 Books (⭐⭐)
 + 1 Fishing Rod: Unbreaking I

Harvest 96 Potatoes (⭐⭐)
 + 12 Gold Ingot

Harvest 32 Wheat (⭐)
 + 1 Emerald

Enchant a Diamond Axe (⭐)
 + 1 Emerald
 + 1 Iron Pickaxe

Chop 32 Logs (⭐)
 + 1 Bow

Fish 16 Cod (⭐⭐)
 + 1 Bundle

Enchant a Diamond Shovel (⭐)
 + 8 Iron Ingot

Kill 90 Spiders (⭐⭐⭐)
 + 1 Enchanted Book: Efficiency V

Chop 32 Acacia Logs (⭐)
 + 1 Iron Leggings
 + 1 Crossbow

Chop 64 Logs (⭐)
 + 1 Emerald
 + 1 Potion: Strength +

Break 72 Glowstones (⭐⭐⭐)
 + 24 Ender Pearl

Chop 96 Acacia Logs (⭐⭐)
 + 1 Ancient Debris

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Diamond Sword: Smite III

Harvest 96 Beetroots (⭐⭐)
 + 3 Splash Potion: Invisibility

Kill 50 Sheep (⭐⭐)
 + 1 Iron Helmet: Thorns II

Mine 48 Copper Ore (⭐)
 + 2 Potion: Regeneration +

Harvest 112 Beetroots (⭐⭐)
 + 8 Slime Ball

Chop 64 Logs (⭐)
 + 2 Splash Potion: Instant Health

Mine 16 Nether Gold Ore (⭐⭐)
 + 2 Diamond

Level up 25 times (⭐⭐⭐)
 + 1 Enchanted Book: Efficiency V

Mine 144 Iron Ore (⭐⭐)
 + 1 Chainmail Leggings: Projectile Protection III

Harvest 16 Cacti (⭐)
 + 4 Potion: Speed +

Mine 144 Iron Ore (⭐⭐)
 + 8 Ender Pearl

Trade with a Villager 4 times (⭐⭐)
 + 1 Enchanted Book: Quick Charge III

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Book: Fortune II

Level up 15 times (⭐⭐)
 + 1 Iron Axe: Bane Of Arthropods II

Kill 30 Sheep (⭐⭐)
 + 16 Gold Ingot

Harvest 80 Sugar Cane (⭐⭐)
 + 1 Music Disc Mellohi
 + 6 Potion: Speed +

Chop 96 Acacia Logs (⭐⭐)
 + 1 Iron Sword: Sweeping I

Harvest 36 Pumpkins (⭐⭐)
 + 8 Ender Pearl

Enchant a Shield (⭐)
 + 1 Ghast Tear

Trade with a Mason 10 times (⭐⭐⭐)
 + 48 Gold Ingot

Chop 192 Logs (⭐⭐)
 + 3 Potion: Invisibility +

Harvest 48 Beetroots (⭐⭐)
 + 1 Diamond
 + 1 Iron Boots

Enchant 8 Books (⭐⭐)
 + 20 Golden Carrot

Enchant a Crossbow with Unbreaking I+ (⭐)
 + 16 Iron Ingot

Kill 70 Skeletons (⭐⭐⭐⭐)
 + 6 Potion: Regeneration II
 + 1 Diamond Sword

Harvest 80 Beetroots (⭐⭐)
 + 8 Gold Ingot
 + 1 Compass
 + 1 Bow

Mine 8 Diamond Ore (⭐⭐⭐)
 + 96 Arrow

Harvest 80 Wheat (⭐)
 + 1 Splash Potion: Water Breathing

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Book: Silk Touch
 + 1 Chainmail Boots: Thorns I

Kill 8 Piglins (⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking II

Level up 45 times (⭐⭐⭐⭐)
 + 8 Diamond

Chop 96 Oak Logs (⭐⭐)
 + 5 Splash Potion: Strength

Harvest 16 Pumpkins (⭐⭐)
 + 3 Potion: Regeneration +

Kill 20 Zoglins (⭐⭐⭐⭐)
 + 1 Netherite Axe: Sharpness IV

Mine 48 Lapis Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V
 + 48 Cooked Mutton

Chop 128 Logs (⭐)
 + 6 Honey Bottle
 + 1 Iron Helmet
 + 1 Iron Pickaxe

Kill 30 Pigs (⭐⭐)
 + 1 Chainmail Boots: Thorns I

Enchant 6 Books (⭐⭐)
 + 1 Ancient Debris

Harvest 64 Wheat (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Pickaxe

Ride 8km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Netherite Chestplate

Kill 110 Skeletons (⭐⭐⭐⭐)
 + 1 Netherite Pickaxe: Efficiency IV

Mine 72 Gold Ore (⭐⭐)
 + 32 Arrow
 + 6 Potion: Speed II

Mine 176 Coal Ore (⭐⭐)
 + 1 Music Disc 13
 + 6 Honey Bottle

Enchant 5 Books (⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking I

Mine 144 Coal Ore (⭐⭐)
 + 2 Nautilus Shell

Harvest 32 Pumpkins (⭐⭐)
 + 1 Iron Shovel: Silk Touch

Mine 88 Gold Ore (⭐⭐⭐)
 + 32 Gold Ingot

Kill 90 Spiders (⭐⭐⭐)
 + 4 Ancient Debris

Harvest 96 Carrots (⭐⭐)
 + 1 Enchanted Book: Feather Falling I
 + 1 Iron Hoe

Kill 60 Zombies (⭐⭐⭐)
 + 4 Blaze Rod

Mine 144 Iron Ore (⭐⭐)
 + 1 Iron Sword: Fire Aspect I

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 10 Diamond

Trade with a Villager 2 times (⭐)
 + 16 Iron Ingot

Find a Shipwreck (⭐⭐⭐)
 + 32 Gold Ingot
 + 1 Diamond Pickaxe

Enchant 2 Books (⭐)
 + 8 Flint
 + 1 Iron Shovel

Harvest 16 Cacti (⭐)
 + 1 Enchanted Book: Lure I

Mine 64 Coal Ore (⭐)
 + 3 Potion: Jump Boost
 + 1 Iron Axe
 + 1 Iron Shovel

Mine 16 Copper Ore (⭐)
 + 1 Iron Helmet

Enchant a Diamond Pickaxe with Unbreaking II+ (⭐⭐⭐)
 + 6 Splash Potion: Strength
 + 32 Iron Ingot

Level up 15 times (⭐⭐)
 + 56 Iron Ingot

Run 2,5km (⭐⭐⭐)
 + 1 Diamond Axe

Level up 15 times (⭐⭐)
 + 1 Bow: Unbreaking II

Harvest 64 Beetroots (⭐⭐)
 + 1 Diamond Shovel

Mine 48 Copper Ore (⭐)
 + 1 Diamond

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Iron Sword: Mending
 + 1 Bow

Mine 208 Coal Ore (⭐⭐)
 + 1 Iron Sword: Sweeping I
 + 1 Iron Chestplate

Harvest 16 Wheat (⭐)
 + 2 Glow Ink Sac

Kill 40 Zombies (⭐⭐)
 + 28 Golden Carrot

Enchant 9 Books (⭐⭐)
 + 2 Sea Lantern

Kill 8 Endermen (⭐⭐⭐⭐)
 + 160 Arrow

Enchant a Diamond Sword (⭐)
 + 12 Cooked Chicken

Enchant a Shield (⭐)
 + 1 Chainmail Helmet
 + 1 Iron Sword

Fish a treasure (⭐⭐)
 + 3 Splash Potion: Night Vision +

Mine 24 Diamond Ore (⭐⭐⭐⭐)
 + 192 Arrow
 + 96 Coal

Harvest 16 Wheat (⭐)
 + 1 Iron Sword

Chop 64 Oak Logs (⭐⭐)
 + 40 Coal

Harvest 8 Red Mushrooms (⭐)
 + 2 Splash Potion: Instant Health II

Harvest 32 Sweet Berries (⭐)
 + 1 Enchanted Book: Lure II
 + 1 Iron Shovel

Enchant 7 Books (⭐⭐)
 + 6 Splash Potion: Speed
 + 1 Diamond

Harvest 48 Carrots (⭐)
 + 4 Golden Carrot

Kill 20 Chickens (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Trade with a Fletcher 4 times (⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Kill 50 Sheep (⭐⭐)
 + 2 Diamond

Catch 16 fish (⭐⭐)
 + 1 Enchanted Book: Knockback I

Chop 128 Logs (⭐)
 + 1 Jukebox
 + 1 Iron Pickaxe
 + 1 Iron Sword

Kill 10 Endermen (⭐⭐⭐⭐)
 + 96 Arrow
 + 1 Enchanted Book: Unbreaking III

Kill 30 Chickens (⭐⭐)
 + 1 Iron Pickaxe: Unbreaking II

Chop 224 Logs (⭐⭐)
 + 1 Iron Axe: Sharpness I

Mine 32 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Smite V

Enchant 8 Books (⭐⭐)
 + 1 Enchanted Book: Protection IV

Harvest 96 Sugar Cane (⭐⭐)
 + 48 Cooked Chicken

Enchant a Diamond Hoe with Unbreaking I+ (⭐⭐)
 + 40 Coal

Harvest 16 Cacti (⭐)
 + 3 Potion: Night Vision +
 + 1 Iron Shovel

Mine 48 Lapis Ore (⭐⭐⭐⭐)
 + 10 Diamond

Enchant 4 Books (⭐⭐)
 + 1 Diamond

Ride 9km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Netherite Axe: Sharpness III

Trade with a Cartographer 14 times (⭐⭐⭐⭐)
 + 1 Diamond Chestplate: Thorns II

Harvest 96 Wheat (⭐)
 + 1 Emerald
 + 1 Iron Leggings

Travel 7km with a Boat (⭐⭐⭐)
 + 1 Iron Axe: Mending

Enchant 4 Books (⭐⭐)
 + 8 Golden Carrot
 + 1 Iron Helmet

Enchant a Bow with Unbreaking I+ (⭐)
 + 16 Cooked Mutton

Kill 70 Creepers (⭐⭐⭐⭐)
 + 96 Iron Ingot

Swim 1,9km (⭐⭐⭐)
 + 1 Diamond Pickaxe
 + 1 Chainmail Chestplate: Unbreaking I
 + 3 Splash Potion: Night Vision +
 + 1 Crossbow

Chop 192 Logs (⭐⭐)
 + 1 Diamond

Mine 112 Coal Ore (⭐⭐)
 + 20 Iron Ingot

Mine 64 Iron Ore (⭐⭐)
 + 1 Iron Pickaxe: Unbreaking I

Kill 50 Zombies (⭐⭐⭐)
 + 1 Diamond Sword: Sweeping I
 + 1 Bow

Mine 32 Nether Gold Ore (⭐⭐⭐)
 + 32 Gold Ingot

Mine 64 Iron Ore (⭐⭐)
 + 4 Slime Ball

Swim 600m (⭐⭐)
 + 1 Ancient Debris

Mine 48 Iron Ore (⭐)
 + 1 Diamond

Harvest 40 Nether Warts (⭐⭐⭐)
 + 1 Enchanted Book: Protection IV

Mine 112 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Punch II
 + 6 Honey Bottle

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 1 Iron Shovel: Mending

Kill 90 Skeletons (⭐⭐⭐⭐)
 + 1 Diamond Shovel: Fortune III

Harvest 80 Carrots (⭐⭐)
 + 2 Potion: Regeneration II

Chop 96 Birch Logs (⭐⭐)
 + 1 Music Disc Ward

Chop 32 Birch Logs (⭐)
 + 8 Iron Ingot
 + 1 Iron Boots

Enchant 3 Books (⭐)
 + 5 Chorus Fruit
 + 1 Iron Boots
 + 1 Iron Pickaxe

Kill 4 Blazes (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Projectile Protection III

Chop 64 Acacia Logs (⭐⭐)
 + 1 Sea Lantern
 + 1 Iron Chestplate
 + 1 Iron Sword

Mine 64 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Unbreaking II

Harvest 64 Wheat (⭐)
 + 1 Bow
 + 1 Iron Pickaxe

Harvest 32 Carrots (⭐)
 + 1 Potion: Fire Resistance +

Kill 10 Sheep (⭐)
 + 1 Iron Chestplate

Find an Ocean Ruin (⭐⭐⭐)
 + 1 Bow: Punch II
 + 36 Iron Ingot

Enchant a Shield (⭐)
 + 3 Chorus Fruit

Kill 5 Witches (⭐⭐⭐⭐)
 + 14 Diamond

Enchant a Diamond Sword with Looting I+ (⭐⭐)
 + 2 Diamond

Harvest 72 Melon Slices (⭐⭐)
 + 1 Enchanted Book: Sweeping III
 + 1 Iron Helmet

Chop 224 Logs (⭐⭐)
 + 8 Quartz

Trade with a Villager 12 times (⭐⭐⭐)
 + 76 Iron Ingot

Chop 64 Oak Logs (⭐⭐)
 + 2 Emerald

Harvest 112 Wheat (⭐)
 + 8 Flint
 + 1 Iron Pickaxe

Chop 64 Logs (⭐)
 + 1 Splash Potion: Night Vision +
 + 1 Iron Axe: Unbreaking III

Kill 70 Zombies (⭐⭐⭐)
 + 1 Enchanted Golden Apple

Chop 64 Oak Logs (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea II

Mine 48 Coal Ore (⭐)
 + 1 Iron Axe: Unbreaking III
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Enchant 4 Books (⭐⭐)
 + 1 Iron Sword: Sharpness III

Harvest 8 Chorus Flowers (⭐⭐⭐⭐)
 + 1 Diamond Boots: Fire Protection IV
 + 48 Cooked Porkchop

Kill 40 Drowned (⭐⭐⭐)
 + 1 Enchanted Golden Apple
 + 6 Chorus Fruit
 + 1 Iron Chestplate

Mine 28 Diamond Ore (⭐⭐⭐⭐)
 + 6 Sea Lantern
 + 48 Gold Ingot

Harvest 64 Wheat (⭐)
 + 6 Potion: Speed

Mine 40 Gold Ore (⭐⭐)
 + 4 Slime Ball

Harvest 32 Wheat (⭐)
 + 1 Iron Helmet

Chop 96 Logs (⭐)
 + 2 Potion: Strength II

Harvest 80 Sugar Cane (⭐⭐)
 + 1 Bow: Flame
 + 20 Iron Ingot

Kill 70 Skeletons (⭐⭐⭐⭐)
 + 1 Iron Axe: Mending

Ring a Bell (⭐⭐⭐⭐)
 + 1 Iron Shovel: Mending
 + 48 Cooked Beef

Harvest 16 Carrots (⭐)
 + 1 Potion: Strength

Fish 1 Pufferfish (⭐)
 + 8 Cooked Chicken

Enchant a Crossbow with Piercing II+ (⭐⭐⭐)
 + 7 Emerald

Harvest 64 Wheat (⭐)
 + 1 Iron Boots
 + 1 Iron Axe

Chop 224 Logs (⭐⭐)
 + 1 Enchanted Book: Punch I

Harvest 64 Wheat (⭐)
 + 8 Cooked Porkchop

Enchant a Crossbow with Multishot (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V

Harvest 44 Pumpkins (⭐⭐⭐)
 + 1 Diamond Axe: Unbreaking II

Harvest 16 Carrots (⭐)
 + 1 Potion: Slow Falling

Trade with a Villager 14 times (⭐⭐⭐)
 + 1 Chainmail Leggings: Protection III

Mine 8 Diamond Ore (⭐⭐⭐)
 + 1 Diamond Axe: Sharpness I

Mine 3 Emerald Ore (⭐⭐⭐)
 + 1 Diamond Shovel: Unbreaking III

Fish 24 Cod (⭐⭐)
 + 32 Arrow

Chop 224 Logs (⭐⭐)
 + 28 Iron Ingot

Kill 10 Cows (⭐)
 + 4 Golden Carrot
 + 1 Iron Sword

Chop 128 Logs (⭐)
 + 1 Diamond Shovel

Chop 128 Logs (⭐)
 + 16 Cooked Porkchop

Chop 128 Logs (⭐)
 + 2 Name Tag

Chop 224 Logs (⭐⭐)
 + 1 Iron Pickaxe: Efficiency I

Enchant a Diamond Pickaxe (⭐)
 + 1 Emerald
 + 3 Potion: Speed +

Mine 224 Coal Ore (⭐⭐)
 + 40 Cooked Porkchop

Kill 40 Creepers (⭐⭐⭐)
 + 5 Emerald
 + 6 Splash Potion: Instant Health II

Trade with a Villager 2 times (⭐)
 + 16 Iron Ingot

Mine 64 Nether Gold Ore (⭐⭐⭐)
 + 1 Enchanted Golden Apple
 + 1 Crossbow: Multishot

Harvest 96 Beetroots (⭐⭐)
 + 1 Chainmail Chestplate: Blast Protection III

Harvest 32 Wheat (⭐)
 + 2 Potion: Speed +

Run 7,5km (⭐⭐⭐⭐)
 + 96 Iron Ingot
 + 1 Chainmail Helmet: Protection II

Mine 144 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods IV

Trade with a Fisherman 2 times (⭐⭐)
 + 1 Iron Shovel: Fortune II
 + 1 Iron Pickaxe

Trade with a Fisherman 14 times (⭐⭐⭐⭐)
 + 24 Ender Pearl

Kill 110 Zombies (⭐⭐⭐⭐)
 + 128 Arrow

Chop 160 Logs (⭐⭐)
 + 1 Iron Leggings
 + 1 Chainmail Chestplate

Harvest 16 Sweet Berries (⭐)
 + 1 Potion: Jump Boost +
 + 1 Iron Sword

Harvest 32 Wheat (⭐)
 + 4 Iron Ingot

Mine 64 Redstone Ore (⭐⭐⭐)
 + 1 Enchanted Book: Flame
 + 8 Sponge

Catch 28 fish (⭐⭐)
 + 6 Potion: Strength
 + 1 Compass

Chop 224 Logs (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea III
 + 1 Iron Pickaxe

Mine 192 Coal Ore (⭐⭐)
 + 1 Diamond Shovel: Efficiency I

Enchant a Diamond Chestplate with Unbreaking I+ (⭐⭐⭐)
 + 96 Coal
 + 32 Arrow

Chop 160 Logs (⭐⭐)
 + 1 Crossbow: Piercing I

Kill 40 Pigs (⭐⭐)
 + 4 Slime Ball

Mine 16 Nether Gold Ore (⭐⭐)
 + 1 Music Disc Far

Mine 112 Nether Gold Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling IV
 + 96 Coal

Mine 96 Coal Ore (⭐)
 + 24 Coal
 + 1 Iron Boots

Trade with a Fisherman 12 times (⭐⭐⭐⭐)
 + 1 Iron Chestplate: Unbreaking III
 + 1 Iron Axe: Sharpness I

Enchant 6 Books (⭐⭐)
 + 1 Enchanted Book: Sharpness I

Find a Village (⭐⭐⭐)
 + 6 Potion: Regeneration

Harvest 112 Wheat (⭐)
 + 5 Potion: Speed II
 + 1 Iron Sword

Chop 192 Logs (⭐⭐)
 + 2 Emerald

Chop 96 Logs (⭐)
 + 8 Flint

Harvest 20 Pumpkins (⭐⭐)
 + 1 Crossbow: Quick Charge II

Mine 88 Gold Ore (⭐⭐⭐)
 + 3 Diamond

Kill 70 Spiders (⭐⭐⭐)
 + 96 Arrow

Mine 176 Coal Ore (⭐⭐)
 + 1 Iron Hoe: Efficiency III

Enchant a Diamond Sword with Bane Of Arthropods I+ (⭐⭐)
 + 1 Diamond

Mine 128 Coal Ore (⭐⭐)
 + 2 Emerald

Kill 1 Ghast (⭐⭐⭐)
 + 1 Enchanted Book: Piercing IV

Mine 64 Coal Ore (⭐)
 + 4 Gold Ingot

Harvest 72 Melon Slices (⭐⭐)
 + 48 Iron Ingot
 + 1 Iron Helmet

Chop 96 Spruce Logs (⭐⭐)
 + 1 Crossbow: Piercing III

Trade with a Fletcher 2 times (⭐⭐)
 + 1 Chainmail Leggings: Protection III

Kill 4 Phantoms (⭐⭐)
 + 32 Arrow

Enchant a Diamond Axe with Unbreaking II+ (⭐⭐⭐)
 + 48 Cooked Chicken
 + 1 Diamond

Enchant a Diamond Shovel with Efficiency IV+ (⭐⭐)
 + 1 Enchanted Book: Fortune I

Mine 32 Copper Ore (⭐)
 + 1 Bow
 + 1 Iron Sword
 + 1 Iron Shovel

Harvest 16 Cacti (⭐)
 + 1 Emerald

Chop 64 Oak Logs (⭐⭐)
 + 1 Iron Sword: Smite IV

Kill 20 Sheep (⭐⭐)
 + 1 Diamond

Chop 224 Logs (⭐⭐)
 + 12 Gold Ingot

Find a Ruined Portal (⭐⭐⭐)
 + 1 Diamond Pickaxe

Kill 20 Endermen (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword
 + 96 Coal

Mine 128 Iron Ore (⭐⭐)
 + 2 Diamond
 + 1 Iron Helmet

Kill 40 Creepers (⭐⭐⭐)
 + 1 Enchanted Book: Efficiency IV

Mine 160 Coal Ore (⭐⭐)
 + 1 Iron Axe: Efficiency I

Mine 112 Iron Ore (⭐⭐)
 + 40 Iron Ingot

Fish 4 Cod (⭐)
 + 1 Iron Axe
 + 1 Iron Pickaxe

Enchant a Diamond Axe with Efficiency IV+ (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking II

Kill 30 Sheep (⭐⭐)
 + 64 Coal

Harvest 112 Sugar Cane (⭐⭐)
 + 1 Iron Sword: Unbreaking II

Kill 30 Sheep (⭐⭐)
 + 1 Bow: Unbreaking I

Find a Ruined Portal (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking I

Chop 128 Logs (⭐)
 + 32 Coal

Kill 6 Squids (⭐)
 + 8 Iron Ingot
 + 1 Iron Pickaxe

Trade with a Leatherworker 2 times (⭐⭐)
 + 1 Enchanted Book: Thorns II

Chop 32 Birch Logs (⭐)
 + 1 Crossbow
 + 1 Iron Axe: Unbreaking III

Harvest 16 Cacti (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Leggings

Mine 64 Redstone Ore (⭐⭐⭐)
 + 6 Potion: Strength +
 + 1 Chainmail Chestplate: Unbreaking I

Harvest 80 Sugar Cane (⭐⭐)
 + 1 Iron Chestplate: Thorns I

Enchant 9 Books (⭐⭐)
 + 1 Enchanted Book: Power II

Harvest 112 Sugar Cane (⭐⭐)
 + 1 Iron Pickaxe: Silk Touch

Enchant 2 Books (⭐)
 + 1 Emerald

Mine 32 Redstone Ore (⭐⭐)
 + 2 Diamond

Mine 16 Redstone Ore (⭐⭐)
 + 56 Coal

Chop 32 Spruce Logs (⭐)
 + 8 Iron Ingot
 + 1 Iron Sword

Enchant a Diamond Pickaxe with Efficiency II+ (⭐⭐)
 + 1 Chainmail Boots: Unbreaking II

Kill 16 Phantoms (⭐⭐⭐)
 + 8 Blaze Rod

Mine 64 Coal Ore (⭐)
 + 1 Iron Pickaxe
 + 1 Chainmail Helmet
 + 1 Iron Sword

Kill 110 Zombies (⭐⭐⭐⭐)
 + 1 Diamond Sword: Looting II

Enchant 4 Books (⭐⭐)
 + 28 Cooked Mutton

Fish 8 Salmon (⭐)
 + 1 Diamond Shovel
 + 1 Iron Pickaxe

Harvest 16 Carrots (⭐)
 + 1 Crossbow

Mine 40 Lapis Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Flame
 + 1 Crossbow: Multishot

Kill 90 Zombies (⭐⭐⭐)
 + 6 Nautilus Shell
 + 1 Iron Sword: Bane Of Arthropods II
 + 3 Splash Potion: Night Vision +

Mine 32 Iron Ore (⭐)
 + 12 Iron Ingot

Enchant 8 Books (⭐⭐)
 + 48 Cooked Chicken
 + 1 Crossbow

Enchant a Diamond Hoe with Fortune I+ (⭐⭐)
 + 1 Iron Shovel: Fortune II

Mine 48 Iron Ore (⭐)
 + 12 Iron Ingot
 + 1 Crossbow

Enchant a Diamond Shovel (⭐)
 + 8 Cooked Mutton

Chop 128 Logs (⭐)
 + 1 Emerald
 + 1 Splash Potion: Invisibility

Catch 16 fish (⭐⭐)
 + 2 Emerald

Kill 4 Squids (⭐)
 + 4 Iron Ingot
 + 1 Iron Sword

Travel 2km with a Boat (⭐⭐)
 + 32 Arrow
 + 3 Splash Potion: Strength II

Kill 10 Chickens (⭐)
 + 1 Bow
 + 1 Iron Pickaxe

Ride 10km on a Horse (⭐⭐⭐⭐⭐)
 + 3 Wither Skeleton Skull

Find a Village (⭐⭐⭐)
 + 1 Iron Shovel: Unbreaking II

Trade with a Librarian 4 times (⭐⭐⭐)
 + 2 Ancient Debris

Mine 128 Iron Ore (⭐⭐)
 + 5 Emerald

Ride 14km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending
 + 24 Ender Pearl

Harvest 32 Pumpkins (⭐⭐)
 + 1 Enchanted Book: Feather Falling II

Enchant 7 Books (⭐⭐)
 + 1 Iron Axe: Fortune I

Trade with a Cartographer 2 times (⭐⭐)
 + 1 Diamond Axe

Kill 110 Spiders (⭐⭐⭐⭐)
 + 1 Enchanted Book: Blast Protection IV

Mine 64 Gold Ore (⭐⭐)
 + 4 Emerald
 + 6 Honey Bottle
 + 1 Iron Boots

Level up 35 times (⭐⭐⭐)
 + 1 Enchanted Book: Respiration III

Chop 32 Spruce Logs (⭐)
 + 12 Cooked Porkchop

Chop 192 Logs (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Find a Village (⭐⭐⭐)
 + 1 Splash Potion: Luck
 + 4 Slime Ball

Kill 100 Skeletons (⭐⭐⭐⭐)
 + 1 Netherite Sword

Kill 40 Zombies (⭐⭐)
 + 8 Ender Pearl

Mine 192 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Frost Walker II

Break 2 Amethyst Clusters (⭐⭐)
 + 1 Enchanted Book: Unbreaking I

Mine 80 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Smite I
 + 1 Crossbow

Kill 70 Creepers (⭐⭐⭐⭐)
 + 1 Diamond Axe: Unbreaking II
 + 96 Coal

Enchant a Diamond Leggings with Protection III+ (⭐⭐⭐⭐)
 + 1 Diamond Leggings

Chop 64 Oak Logs (⭐⭐)
 + 5 Potion: Jump Boost +

Chop 32 Birch Logs (⭐)
 + 8 Flint

Mine 48 Copper Ore (⭐)
 + 1 Crossbow
 + 1 Iron Axe: Unbreaking III
 + 1 Iron Pickaxe

Mine 144 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Blast Protection IV

Find a Village (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking I

Level up 10 times (⭐⭐)
 + 16 Gold Ingot
 + 1 Iron Pickaxe

Chop 32 Logs (⭐)
 + 1 Crossbow

Kill 10 Chickens (⭐)
 + 1 Splash Potion: Jump Boost II
 + 1 Iron Pickaxe

Enchant 4 Books (⭐⭐)
 + 40 Coal

Mine 48 Copper Ore (⭐)
 + 1 Sea Lantern
 + 1 Iron Pickaxe

Kill 10 Sheep (⭐)
 + 1 Iron Chestplate

Kill 50 Sheep (⭐⭐)
 + 1 Music Disc Pigstep
 + 1 Iron Sword: Bane Of Arthropods I

Chop 160 Logs (⭐⭐)
 + 28 Cooked Mutton

Mine 32 Iron Ore (⭐)
 + 4 Golden Carrot

Ride 3km on a Horse (⭐⭐⭐⭐)
 + 23 Emerald

Fish 4 Cod (⭐)
 + 8 Cooked Mutton

Kill 70 Skeletons (⭐⭐⭐⭐)
 + 96 Iron Ingot

Kill 20 Pigs (⭐⭐)
 + 1 Iron Sword: Sharpness I

Enchant a Fishing Rod with Luck Of The Sea I+ (⭐⭐)
 + 1 Bow: Unbreaking I

Kill 50 Chickens (⭐⭐)
 + 1 Crossbow: Unbreaking II

Enchant a Fishing Rod with Lure I+ (⭐⭐)
 + 1 Iron Sword: Knockback I

Chop 160 Logs (⭐⭐)
 + 40 Coal

Enchant a Diamond Helmet with Protection II+ (⭐⭐⭐)
 + 1 Enchanted Golden Apple
 + 1 Diamond Sword

Kill 20 Chickens (⭐⭐)
 + 1 Diamond

Kill 4 Witches (⭐⭐⭐⭐)
 + 1 Diamond Leggings

Chop 128 Logs (⭐)
 + 1 Iron Leggings
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Chop 96 Oak Logs (⭐⭐)
 + 1 Iron Axe: Efficiency III

Harvest 96 Potatoes (⭐⭐)
 + 1 Iron Shovel: Efficiency I

Find a Village (⭐⭐⭐)
 + 96 Coal
 + 1 Diamond Shovel

Mine 80 Nether Quartz Ore (⭐⭐⭐)
 + 7 Diamond

Level up 15 times (⭐⭐)
 + 1 Enchanted Book: Sharpness V

Enchant a Diamond Shovel with Fortune I+ (⭐⭐)
 + 1 Iron Shovel: Efficiency II
 + 1 Iron Axe

Fish 24 Cod (⭐⭐)
