Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- OCEAN_RUIN           count: 6             4,76 %    (5,94 % expected)
 + 1 Iron Axe: Unbreaking III

Catch 28 fish (⭐⭐)
 + 32 Arrow

Kill 2 Ghasts (⭐⭐⭐)
 + 1 Iron Chestplate: Thorns III
 + 3 Diamond

Mine 96 Coal Ore (⭐)
 + 8 Gold Ingot

Enchant 8 Books (⭐⭐)
 + 20 Golden Carrot

Chop 160 Logs (⭐⭐)
 + 2 Splash Potion: Jump Boost
 + 1 Iron Chestplate
 + 1 Iron Hoe

Enchant a Diamond Boots with Protection II+ (⭐⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Harvest 16 Kelp (⭐)
 + 1 Iron Pickaxe

Kill 70 Skeletons (⭐⭐⭐⭐)
 + 16 Emerald

Harvest 48 Melon Slices (⭐⭐)
 + 5 Potion: Water Breathing

Kill 10 Chickens (⭐)
 + 1 Crossbow
 + 1 Iron Pickaxe

Chop 64 Logs (⭐)
 + 4 Gold Ingot

Kill 20 Chickens (⭐⭐)
 + 1 Spyglass

Mine 112 Coal Ore (⭐⭐)
 + 2 Emerald

Mine 144 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Projectile Protection II

Find an Ocean Ruin (⭐⭐⭐)
 + 6 Potion: Water Breathing +

Find a Nether Fortress (⭐⭐⭐⭐)
 + 1 Chainmail Helmet: Mending

Harvest 112 Carrots (⭐⭐)
 + 32 Copper Ingot

Harvest 48 Nether Warts (⭐⭐⭐⭐)
 + 1 Enchanted Book: Smite III
 + 24 Book

Level up 35 times (⭐⭐⭐)
 + 13 Emerald

Find a Village (⭐⭐⭐)
 + 1 Enchanted Book: Projectile Protection III

Find a Bastion Remnant (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V
 + 1 Iron Pickaxe

Run 10km (⭐⭐⭐⭐)
 + 1 Diamond Leggings: Blast Protection III

Chop 64 Spruce Logs (⭐⭐)
 + 1 Spyglass

Run 12,5km (⭐⭐⭐⭐⭐)
 + 18 Diamond

Find a Nether Fortress (⭐⭐⭐⭐)
 + 8 Diamond

Kill 40 Skeletons (⭐⭐⭐)
 + 1 Diamond Pickaxe: Efficiency II

Mine 96 Iron Ore (⭐⭐)
 + 4 Ender Pearl

Run 22,5km (⭐⭐⭐⭐⭐)
 + 1 Netherite Hoe: Fortune II
 + 1 Enchanted Book: Unbreaking III
 + 24 Book
 + 6 Chorus Fruit

Mine 96 Coal Ore (⭐)
 + 3 Name Tag

Kill 20 Sheep (⭐⭐)
 + 1 Enchanted Book: Piercing IV

Mine 16 Copper Ore (⭐)
 + 1 Chainmail Chestplate

Run 5km (⭐⭐⭐)
 + 20 Slime Ball

Kill 50 Pigs (⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Harvest 20 Pumpkins (⭐⭐)
 + 1 Iron Pickaxe: Efficiency II

Catch 16 fish (⭐⭐)
 + 1 Chainmail Helmet: Aqua Affinity

Level up 25 times (⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Mine 16 Gold Ore (⭐)
 + 1 Diamond Shovel

Chop 96 Oak Logs (⭐⭐)
 + 1 Enchanted Book: Punch I

Chop 224 Logs (⭐⭐)
 + 1 Enchanted Book: Sweeping II

Run 12,5km (⭐⭐⭐⭐⭐)
 + 12 Amethyst Shard
 + 24 Ender Pearl

Fish 8 Cod (⭐)
 + 24 Coal

Harvest 48 Potatoes (⭐)
 + 1 Fishing Rod: Lure II

Harvest 56 Brown Mushrooms (⭐⭐⭐)
 + 5 Ghast Tear

Fish 20 Cod (⭐⭐)
 + 1 Music Disc Chirp

Kill 50 Zombies (⭐⭐⭐)
 + 1 Iron Sword: Sharpness III

Find a Swamp Hut (⭐⭐⭐⭐⭐)
 + 1 Netherite Pickaxe
 + 6 Splash Potion: Water Breathing

Trade with a Villager 14 times (⭐⭐⭐)
 + 1 Iron Helmet: Thorns III

Chop 96 Logs (⭐)
 + 16 Cooked Chicken

Harvest 96 Sugar Cane (⭐⭐)
 + 1 Diamond Sword: Knockback I

Mine 16 Redstone Ore (⭐⭐)
 + 36 Cooked Chicken

Kill 90 Spiders (⭐⭐⭐)
 + 1 Iron Leggings: Unbreaking II
 + 6 Potion: Regeneration

Harvest 96 Sweet Berries (⭐⭐)
 + 4 Sponge

Chop 160 Logs (⭐⭐)
 + 1 Enchanted Book: Lure I
 + 1 Iron Leggings

Enchant a Diamond Hoe (⭐)
 + 4 Book
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Kill 50 Skeletons (⭐⭐⭐)
 + 6 Potion: Water Breathing +
 + 1 Iron Sword: Unbreaking II

Chop 160 Logs (⭐⭐)
 + 1 Chainmail Helmet: Respiration I

Mine 88 Gold Ore (⭐⭐⭐)
 + 48 Cooked Mutton
 + 1 Chainmail Leggings

Enchant a Diamond Pickaxe with Fortune I+ (⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling II
 + 1 Bow

Enchant a Fishing Rod with Luck Of The Sea I+ (⭐⭐)
 + 1 Enchanted Book: Feather Falling II

Find a Ruined Portal (⭐⭐⭐)
 + 64 Arrow

Mine 32 Copper Ore (⭐)
 + 6 Potion: Speed
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Mine 240 Coal Ore (⭐⭐)
 + 44 Iron Ingot

Level up 35 times (⭐⭐⭐)
 + 128 Arrow

Reach level 30 (⭐⭐⭐)
 + 76 Copper Ingot

Chop 32 Oak Logs (⭐)
 + 4 Gold Ingot

Harvest 64 Sugar Cane (⭐⭐)
 + 1 Chainmail Leggings: Unbreaking I

Find a Village (⭐⭐⭐)
 + 8 Emerald

Fish 1 Pufferfish (⭐)
 + 1 Chainmail Helmet
 + 1 Iron Sword

Kill 40 Chickens (⭐⭐)
 + 32 Arrow
 + 1 Jukebox

Harvest 44 Pumpkins (⭐⭐⭐)
 + 52 Copper Ingot
 + 1 Diamond Shovel

Enchant a Diamond Sword with Sharpness IV+ (⭐⭐⭐)
 + 40 Quartz

Enchant 2 Books (⭐)
 + 1 Crossbow
 + 1 Potion: Strength

Kill 10 Sheep (⭐)
 + 1 Fishing Rod: Luck Of The Sea I
 + 1 Iron Sword

Mine 240 Coal Ore (⭐⭐)
 + 20 Gold Ingot

Chop 64 Logs (⭐)
 + 1 Potion: Water Breathing +
 + 1 Iron Pickaxe

Harvest 64 Carrots (⭐)
 + 1 Enchanted Book: Lure I
 + 1 Iron Chestplate

Chop 160 Logs (⭐⭐)
 + 16 Iron Ingot
 + 1 Iron Boots

Harvest 32 Sugar Cane (⭐)
 + 1 Iron Chestplate
 + 1 Fishing Rod

Mine 40 Lapis Ore (⭐⭐⭐⭐)
 + 160 Arrow

Mine 192 Coal Ore (⭐⭐)
 + 1 Iron Sword: Knockback I
 + 1 Splash Potion: Regeneration II

Harvest 96 Wheat (⭐)
 + 8 Flint

Mine 64 Coal Ore (⭐)
 + 1 Compass
 + 1 Iron Sword

Kill 6 Ghasts (⭐⭐⭐⭐)
 + 12 Ghast Tear
 + 1 Iron Sword: Sweeping I

Chop 192 Logs (⭐⭐)
 + 48 Coal

Fish 2 Salmon (⭐)
 + 1 Chainmail Chestplate

Mine 96 Iron Ore (⭐⭐)
 + 1 Iron Pickaxe: Unbreaking II

Reach level 45 (⭐⭐⭐⭐)
 + 1 Heart Of The Sea
 + 1 Enchanted Book: Lure III

Enchant a Diamond Leggings (⭐⭐)
 + 1 Enchanted Book: Piercing III
 + 1 Iron Boots

Mine 48 Iron Ore (⭐)
 + 1 Diamond
 + 1 Iron Helmet

Mine 12 Diamond Ore (⭐⭐⭐)
 + 1 Iron Pickaxe: Efficiency II
 + 1 Diamond Sword
 + 6 Potion: Jump Boost +

Mine 16 Copper Ore (⭐)
 + 1 Name Tag

Enchant 4 Books (⭐⭐)
 + 1 Diamond
 + 4 Book

Chop 96 Spruce Logs (⭐⭐)
 + 40 Cooked Chicken

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 9 Diamond
 + 6 Splash Potion: Speed

Catch 4 fish (⭐)
 + 4 Book

Catch 8 fish (⭐)
 + 8 Flint
 + 1 Iron Sword

Kill 20 Chickens (⭐⭐)
 + 2 Emerald

Kill 22 Endermen (⭐⭐⭐⭐⭐)
 + 192 Arrow
 + 24 Book
 + 1 Enchanted Book: Silk Touch
 + 96 Coal
 + 48 Cooked Porkchop

Mine 56 Lapis Ore (⭐⭐⭐⭐)
 + 1 Diamond Leggings: Protection II
 + 48 Cooked Mutton

Find a Village (⭐⭐⭐)
 + 1 Splash Potion: Luck
 + 6 Potion: Jump Boost
 + 1 Diamond Shovel

Find a Village (⭐⭐⭐)
 + 4 Diamond

Mine 8 Diamond Ore (⭐⭐⭐)
 + 6 Potion: Regeneration II

Trade with a Mason 12 times (⭐⭐⭐⭐)
 + 1 Netherite Shovel

Kill 60 Spiders (⭐⭐⭐)
 + 1 Bow: Power III

Enchant a Diamond Helmet with Unbreaking I+ (⭐⭐)
 + 1 Enchanted Book: Piercing IV

Chop 32 Birch Logs (⭐)
 + 1 Iron Chestplate

Chop 96 Jungle Logs (⭐⭐)
 + 1 Diamond

Mine 64 Coal Ore (⭐)
 + 16 Cooked Chicken

Kill 50 Creepers (⭐⭐⭐)
 + 1 Iron Boots: Blast Protection IV

Mine 112 Iron Ore (⭐⭐)
 + 80 Coal

Harvest 112 Wheat (⭐)
 + 2 Potion: Invisibility +
 + 1 Iron Hoe

Fish 16 Cod (⭐⭐)
 + 3 Saddle

Harvest 64 Wheat (⭐)
 + 1 Enchanted Book: Luck Of The Sea III

Kill 90 Zombies (⭐⭐⭐)
 + 1 Iron Leggings: Blast Protection IV

Mine 32 Nether Gold Ore (⭐⭐⭐)
 + 96 Coal

Find a Village (⭐⭐⭐)
 + 96 Coal

Harvest 64 Wheat (⭐)
 + 1 Iron Helmet
 + 1 Chainmail Chestplate

Reach level 45 (⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending

Chop 192 Logs (⭐⭐)
 + 4 Slime Ball

Fish 8 Cod (⭐)
 + 1 Chainmail Chestplate
 + 1 Iron Pickaxe

Enchant 3 Books (⭐)
 + 8 Gold Ingot

Enchant a Diamond Sword (⭐)
 + 12 Cooked Chicken

Kill 10 Chickens (⭐)
 + 1 Emerald

Fish 12 Salmon (⭐⭐)
 + 1 Iron Hoe: Unbreaking I

Kill 8 Squids (⭐)
 + 1 Emerald
 + 1 Bow
 + 1 Iron Sword

Harvest 48 Potatoes (⭐)
 + 4 Book

Kill 30 Chickens (⭐⭐)
 + 32 Arrow
 + 1 Iron Pickaxe

Mine 32 Iron Ore (⭐)
 + 12 Iron Ingot

Mine 40 Lapis Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling IV

Enchant 4 Books (⭐⭐)
 + 20 Iron Ingot

Kill 30 Chickens (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea II

Mine 48 Gold Ore (⭐⭐)
 + 1 Iron Sword: Unbreaking I
 + 1 Iron Pickaxe

Enchant a Diamond Leggings (⭐⭐)
 + 32 Arrow

Mine 80 Iron Ore (⭐⭐)
 + 3 Splash Potion: Water Breathing +

Chop 32 Spruce Logs (⭐)
 + 12 Iron Ingot

Kill 4 Witches (⭐⭐⭐⭐)
 + 1 Diamond Leggings

Kill 60 Spiders (⭐⭐⭐)
 + 1 Iron Hoe: Silk Touch
 + 1 Diamond Sword

Mine 240 Coal Ore (⭐⭐)
 + 1 Ancient Debris
 + 4 Slime Ball

Trade with a Armorer 8 times (⭐⭐⭐)
 + 1 Diamond Boots

Chop 64 Acacia Logs (⭐⭐)
 + 40 Coal

Harvest 80 Kelp (⭐)
 + 12 Cooked Porkchop
 + 1 Iron Hoe

Mine 48 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Punch II

Mine 176 Coal Ore (⭐⭐)
 + 1 Diamond

Harvest 32 Wheat (⭐)
 + 1 Chainmail Chestplate

Mine 32 Redstone Ore (⭐⭐)
 + 1 Diamond Pickaxe

Find a Pillager Outpost (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V
 + 6 Potion: Instant Health

Reach level 25 (⭐⭐)
 + 6 Splash Potion: Speed
 + 1 Iron Leggings

Kill 40 Creepers (⭐⭐⭐)
 + 1 Iron Boots: Protection III

Chop 160 Logs (⭐⭐)
 + 6 Honey Bottle
 + 1 Chainmail Leggings

Harvest 32 Carrots (⭐)
 + 8 Iron Ingot

Find a Village (⭐⭐⭐)
 + 1 Iron Shovel: Fortune II

Reach level 25 (⭐⭐)
 + 8 Slime Ball

Fish 4 Cod (⭐)
 + 4 Book

Chop 224 Logs (⭐⭐)
 + 6 Potion: Instant Health
 + 1 Iron Sword

Mine 128 Iron Ore (⭐⭐)
 + 96 Coal

Kill 50 Spiders (⭐⭐⭐)
 + 84 Copper Ingot

Mine 64 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Frost Walker II

Chop 64 Birch Logs (⭐⭐)
 + 1 Iron Hoe: Efficiency II

Mine 80 Coal Ore (⭐)
 + 4 Book

Mine 80 Coal Ore (⭐)
 + 1 Enchanted Book: Lure I

Harvest 96 Wheat (⭐)
 + 8 Gold Ingot

Harvest 16 Cacti (⭐)
 + 16 Coal

Enchant a Diamond Sword with Smite I+ (⭐⭐)
 + 3 Splash Potion: Fire Resistance

Kill 16 Blazes (⭐⭐⭐⭐)
 + 1 Enchanted Book: Fortune III
 + 48 Cooked Mutton

Mine 240 Coal Ore (⭐⭐)
 + 24 Flint

Harvest 80 Carrots (⭐⭐)
 + 1 Bow: Power II

Harvest 40 Brown Mushrooms (⭐⭐)
 + 48 Cooked Mutton

Enchant 4 Books (⭐⭐)
 + 1 Diamond

Mine 192 Coal Ore (⭐⭐)
 + 40 Cooked Chicken
 + 1 Iron Leggings

Enchant 7 Books (⭐⭐)
 + 12 Book

Travel 8km with a Boat (⭐⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking III

Trade with a Weaponsmith 12 times (⭐⭐⭐⭐)
 + 1 Iron Chestplate: Blast Protection IV
 + 1 Enchanted Book: Sweeping III

Trade with a Mason 10 times (⭐⭐⭐)
 + 20 Ender Pearl

Kill 60 Drowned (⭐⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods V

Enchant a Diamond Sword (⭐)
 + 2 Splash Potion: Speed
 + 1 Iron Hoe

Mine 144 Coal Ore (⭐⭐)
 + 1 Iron Sword: Sharpness II
 + 1 Crossbow

Run 5km (⭐⭐⭐)
 + 7 Diamond

Harvest 16 Cocoa Beans (⭐)
 + 1 Enchanted Book: Lure I

Harvest 64 Beetroots (⭐⭐)
 + 1 Chainmail Helmet: Thorns II
 + 1 Iron Pickaxe

Harvest 64 Potatoes (⭐)
 + 16 Iron Ingot

Kill 100 Skeletons (⭐⭐⭐⭐)
 + 192 Arrow
 + 1 Enchanted Book: Aqua Affinity

Chop 224 Logs (⭐⭐)
 + 1 Enchanted Book: Fire Protection III

Kill 20 Blazes (⭐⭐⭐⭐⭐)
 + 1 Netherite Helmet: Respiration III

Kill 100 Skeletons (⭐⭐⭐⭐)
 + 24 Ender Pearl

Mine 48 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Feather Falling IV
 + 1 Iron Helmet
 + 1 Iron Pickaxe

Chop 192 Logs (⭐⭐)
 + 1 Enchanted Book: Sharpness V

Chop 64 Logs (⭐)
 + 1 Iron Leggings

Harvest 32 Cacti (⭐⭐)
 + 20 Cooked Beef

Mine 96 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Unbreaking III

Kill 30 Cows (⭐⭐)
 + 1 Music Disc 11

Mine 20 Diamond Ore (⭐⭐⭐⭐)
 + 1 Netherite Ingot

Enchant 8 Books (⭐⭐)
 + 1 Enchanted Book: Protection IV
 + 1 Diamond Shovel

Chop 64 Logs (⭐)
 + 1 Iron Boots
 + 4 Copper Ingot

Enchant a Diamond Shovel (⭐)
 + 1 Chainmail Leggings
 + 1 Iron Hoe

Harvest 80 Sugar Cane (⭐⭐)
 + 5 Splash Potion: Fire Resistance +

Harvest 16 Cacti (⭐)
 + 8 Iron Ingot

Reach level 40 (⭐⭐⭐⭐)
 + 24 Slime Ball

Harvest 96 Sugar Cane (⭐⭐)
 + 1 Diamond Pickaxe

Harvest 10 Chorus Flowers (⭐⭐⭐⭐⭐)
 + 1 Diamond Helmet: Unbreaking III
 + 96 Copper Ingot

Catch 8 fish (⭐)
 + 2 Potion: Instant Health II
 + 1 Iron Sword

Mine 56 Gold Ore (⭐⭐)
 + 1 Iron Helmet: Thorns II

Chop 64 Spruce Logs (⭐⭐)
 + 1 Diamond

Chop 64 Birch Logs (⭐⭐)
 + 2 Emerald
 + 1 Iron Sword

Run 17,5km (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Unbreaking III
 + 1 Chainmail Chestplate: Mending

Reach level 30 (⭐⭐⭐)
 + 1 Iron Sword: Looting II

Ride 10km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Netherite Hoe: Efficiency V
 + 1 Enchanted Book: Silk Touch

Kill 30 Pigs (⭐⭐)
 + 32 Iron Ingot

Reach level 35 (⭐⭐⭐)
 + 1 Enchanted Book: Power IV

Harvest 112 Wheat (⭐)
 + 40 Coal

Harvest 64 Kelp (⭐)
 + 16 Coal
 + 1 Iron Pickaxe

Mine 32 Copper Ore (⭐)
 + 1 Emerald

Mine 208 Coal Ore (⭐⭐)
 + 4 Ender Pearl

Run 17,5km (⭐⭐⭐⭐⭐)
 + 2 Heart Of The Sea
 + 1 Chainmail Chestplate: Projectile Protection I

Enchant a Crossbow with Piercing III+ (⭐⭐⭐)
 + 1 Iron Hoe: Fortune II
 + 6 Splash Potion: Strength II

Catch 8 fish (⭐)
 + 1 Iron Helmet
 + 4 Iron Ingot
 + 1 Iron Sword

Kill 20 Pigs (⭐⭐)
 + 1 Iron Sword: Bane Of Arthropods II

Harvest 56 Brown Mushrooms (⭐⭐⭐)
 + 3 Diamond

Mine 32 Nether Gold Ore (⭐⭐⭐)
 + 1 Chainmail Helmet: Protection III

Mine 192 Coal Ore (⭐⭐)
 + 2 Diamond

Find an Ocean Ruin (⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking I

Trade with a Villager 6 times (⭐⭐)
 + 2 Diamond

Kill 110 Zombies (⭐⭐⭐⭐)
 + 8 Diamond

Mine 64 Coal Ore (⭐)
 + 8 Copper Ingot
 + 1 Bow

Find an Ocean Monument (⭐⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III
 + 1 Iron Sword: Fire Aspect I
 + 1 Iron Chestplate

Mine 144 Iron Ore (⭐⭐)
 + 6 Splash Potion: Jump Boost

Chop 32 Spruce Logs (⭐)
 + 1 Bow
 + 4 Copper Ingot
 + 1 Iron Sword

Harvest 32 Wheat (⭐)
 + 4 Cooked Beef

Mine 32 Copper Ore (⭐)
 + 1 Splash Potion: Water Breathing
 + 1 Iron Shovel

Find a Nether Fortress (⭐⭐⭐⭐)
 + 96 Iron Ingot

Trade with a Leatherworker 4 times (⭐⭐)
 + 64 Arrow

Mine 160 Coal Ore (⭐⭐)
 + 1 Diamond

Mine 144 Coal Ore (⭐⭐)
 + 8 Book

Mine 112 Coal Ore (⭐⭐)
 + 1 Iron Sword: Smite III

Enchant a Diamond Pickaxe with Unbreaking I+ (⭐⭐)
 + 16 Golden Carrot

Kill 7 Pillagers (⭐⭐⭐⭐)
 + 1 Iron Sword: Mending
 + 24 Book

Mine 224 Coal Ore (⭐⭐)
 + 4 Ender Pearl

Enchant a Fishing Rod with Luck Of The Sea II+ (⭐⭐)
 + 1 Diamond Pickaxe

Kill 60 Creepers (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness V

Mine 16 Gold Ore (⭐)
 + 8 Iron Ingot
 + 1 Bow

Chop 64 Acacia Logs (⭐⭐)
 + 1 Diamond
 + 1 Iron Chestplate

Find an Ocean Monument (⭐⭐⭐⭐)
 + 1 Diamond Leggings: Thorns III

Kill 20 Chickens (⭐⭐)
 + 1 Diamond

Enchant a Diamond Shovel (⭐)
 + 4 Iron Ingot
 + 1 Iron Sword

Harvest 48 Cocoa Beans (⭐⭐)
 + 1 Enchanted Book: Piercing IV

Mine 88 Gold Ore (⭐⭐⭐)
 + 1 Iron Pickaxe: Fortune II

Mine 72 Gold Ore (⭐⭐)
 + 1 Iron Helmet: Aqua Affinity
 + 2 Splash Potion: Regeneration II

Chop 64 Spruce Logs (⭐⭐)
 + 8 Gold Ingot

Mine 56 Gold Ore (⭐⭐)
 + 44 Copper Ingot

Mine 128 Iron Ore (⭐⭐)
 + 16 Book

Chop 32 Spruce Logs (⭐)
 + 1 Ghast Tear
 + 1 Iron Helmet
 + 1 Iron Shovel

Mine 16 Nether Gold Ore (⭐⭐)
 + 1 Iron Sword: Looting I

Enchant 3 Books (⭐)
 + 2 Potion: Night Vision +
 + 1 Iron Helmet
 + 1 Iron Pickaxe

Find a Shipwreck (⭐⭐⭐)
 + 1 Iron Leggings: Unbreaking III

Find a Village (⭐⭐⭐)
 + 3 Diamond
 + 1 Diamond Shovel

Harvest 80 Beetroots (⭐⭐)
 + 2 Amethyst Shard

Harvest 16 Red Mushrooms (⭐⭐)
 + 1 Chainmail Boots: Feather Falling II

Enchant a Bow with Power III+ (⭐⭐⭐)
 + 12 Ender Pearl

Enchant a Diamond Sword with Sweeping II+ (⭐⭐⭐)
 + 92 Copper Ingot

Mine 48 Nether Gold Ore (⭐⭐⭐)
 + 1 Enchanted Book: Power III

Enchant a Shield (⭐)
 + 2 Potion: Jump Boost

Chop 128 Logs (⭐)
 + 1 Splash Potion: Water Breathing +

Mine 96 Coal Ore (⭐)
 + 1 Diamond Shovel

Chop 160 Logs (⭐⭐)
 + 1 Jukebox

Harvest 64 Potatoes (⭐)
 + 8 Gold Ingot

Enchant a Diamond Sword with Sweeping I+ (⭐⭐)
 + 48 Cooked Mutton

Harvest 32 Sugar Cane (⭐)
 + 1 Compass
 + 1 Iron Leggings
 + 1 Iron Sword

Harvest 32 Cacti (⭐⭐)
 + 1 Iron Sword: Bane Of Arthropods III

Level up 40 times (⭐⭐⭐)
 + 96 Iron Ingot

Mine 128 Coal Ore (⭐⭐)
 + 1 Chainmail Chestplate: Thorns II

Enchant 4 Books (⭐⭐)
 + 4 Slime Ball

Mine 64 Redstone Ore (⭐⭐⭐)
 + 1 Chainmail Leggings: Projectile Protection III
 + 6 Potion: Instant Health

Kill 100 Creepers (⭐⭐⭐⭐)
 + 48 Flint
 + 24 Book

Mine 64 Coal Ore (⭐)
 + 2 Name Tag

Harvest 112 Sugar Cane (⭐⭐)
 + 1 Iron Shovel: Efficiency III
 + 1 Iron Boots

Find a Ruined Portal (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness III

Enchant a Bow with Power III+ (⭐⭐⭐)
 + 96 Coal

Mine 64 Iron Ore (⭐⭐)
 + 1 Chainmail Chestplate: Projectile Protection III

Enchant a Diamond Boots with Protection II+ (⭐⭐⭐)
 + 1 Iron Helmet: Protection II

Chop 128 Logs (⭐)
 + 8 Flint
 + 1 Iron Pickaxe

Mine 176 Coal Ore (⭐⭐)
 + 4 Splash Potion: Slow Falling +
 + 1 Iron Pickaxe

Harvest 32 Sugar Cane (⭐)
 + 4 Golden Carrot
 + 1 Iron Boots

Level up 25 times (⭐⭐⭐)
 + 12 Slime Ball

Enchant a Diamond Boots with Blast Protection III+ (⭐⭐⭐)
 + 96 Iron Ingot

Enchant a Diamond Pickaxe with Fortune I+ (⭐⭐⭐)
 + 20 Book

Harvest 96 Wheat (⭐)
 + 2 Potion: Fire Resistance +

Harvest 64 Wheat (⭐)
 + 2 Potion: Fire Resistance

Kill 20 Cows (⭐⭐)
 + 1 Diamond Shovel

Chop 192 Logs (⭐⭐)
 + 1 Iron Hoe: Unbreaking I

Mine 88 Gold Ore (⭐⭐⭐)
 + 8 Ender Pearl

Trade with a Villager 14 times (⭐⭐⭐)
 + 1 Enchanted Book: Quick Charge III

Mine 48 Redstone Ore (⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking III

Break 4 Amethyst Clusters (⭐⭐)
 + 1 Iron Sword: Looting II
 + 1 Iron Helmet

Enchant a Diamond Leggings (⭐⭐)
 + 12 Book

Mine 56 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Thorns I

Trade with a Villager 12 times (⭐⭐⭐)
 + 1 Enchanted Golden Apple

Kill 40 Drowned (⭐⭐⭐)
 + 1 Chainmail Helmet: Protection III
 + 3 Potion: Invisibility +

Enchant a Diamond Shovel with Efficiency II+ (⭐⭐)
 + 24 Iron Ingot
 + 1 Iron Pickaxe

Mine 48 Coal Ore (⭐)
 + 8 Cooked Beef

Enchant 9 Books (⭐⭐)
 + 8 Ender Pearl

Fish 28 Cod (⭐⭐)
 + 2 Diamond

Kill 3 Witches (⭐⭐⭐⭐)
 + 24 Slime Ball

Kill 24 Cave Spiders (⭐⭐⭐⭐)
 + 128 Arrow
 + 1 Crossbow: Quick Charge III
 + 48 Cooked Chicken

Mine 80 Redstone Ore (⭐⭐⭐)
 + 1 Enchanted Book: Fortune II
 + 1 Crossbow: Quick Charge III

Enchant 2 Books (⭐)
 + 2 Potion: Jump Boost +

Chop 32 Logs (⭐)
 + 4 Copper Ingot

Harvest 80 Wheat (⭐)
 + 1 Splash Potion: Invisibility

Kill 10 Wither Skeletons (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Mending

Chop 96 Logs (⭐)
 + 8 Flint

Mine 32 Redstone Ore (⭐⭐)
 + 1 Diamond Sword

Harvest 48 Wheat (⭐)
 + 8 Flint

Trade with a Fisherman 14 times (⭐⭐⭐⭐)
 + 160 Arrow

Find a Desert Pyramid (⭐⭐⭐)
 + 1 Enchanted Book: Unbreaking III

Kill 9 Magma Cubes (⭐⭐⭐⭐)
 + 1 Enchanted Book: Power V

Enchant 6 Books (⭐⭐)
 + 4 Ender Pearl

Fish 2 Salmon (⭐)
 + 1 Emerald

Kill 16 Piglins (⭐⭐⭐⭐)
 + 96 Arrow
 + 1 Diamond Sword: Sweeping III
 + 1 Bundle

Kill 20 Cows (⭐⭐)
 + 1 Diamond Shovel

Enchant a Diamond Leggings (⭐⭐)
 + 1 Chainmail Boots: Unbreaking II

Chop 32 Oak Logs (⭐)
 + 6 Honey Bottle
 + 1 Iron Sword

Kill 36 Phantoms (⭐⭐⭐⭐)
 + 3 Enchanted Golden Apple

Enchant a Diamond Sword with Knockback I+ (⭐⭐)
 + 1 Enchanted Book: Thorns II

Swim 1,8km (⭐⭐⭐)
 + 20 Ender Pearl

Trade with a Cleric 8 times (⭐⭐⭐⭐)
 + 1 Diamond Leggings

Find a Ruined Portal (⭐⭐⭐)
 + 64 Arrow

Find a Ruined Portal (⭐⭐⭐)
 + 48 Cooked Porkchop
 + 1 Iron Chestplate

Run 12,5km (⭐⭐⭐⭐⭐)
 + 1 Netherite Boots

Reach level 25 (⭐⭐)
 + 4 Blaze Rod

Harvest 48 Sweet Berries (⭐)
 + 8 Gold Ingot

Harvest 32 Brown Mushrooms (⭐⭐)
 + 4 Emerald

Mine 16 Redstone Ore (⭐⭐)
